"qseqid","sseqid","protein","drugs","nod","pident","len","mis","gapopen","qstart","qend","sstart","send","evalue","bitscore"
"975885970","AMA12086.1","Genome polyprotein","DB05868 DB06038 DB06058 DB07582","4","23.52","421","272","14","1535","1932","1065","1458","2.00E-10","64.3"
"975885970","AMA12086.1","Genome polyprotein","DB06913 DB07085 DB07185 DB07273 DB07275 DB07547 DB07770 DB08556","8","23.39","449","291","15","1535","1957","1065","1486","3.00E-10","64.3"
"975885970","AMA12086.1","Genome polyprotein","DB02331 DB03605 DB04005 DB04137 DB04298 DB06974 DB07062 DB07169 DB07199 DB07200 DB07238 DB07414 DB07570 DB08031 DB08278 DB08279 DB08390 DB08481 DB08578 DB08579 DB08580 DB08581 DB08582 DB08701 DB08706 DB08710","26","23.39","449","291","15","1535","1957","1065","1486","4.00E-10","63.9"
"975885970","AMA12086.1","Genome polyprotein","DB01720 DB04005","2","22.84","429","287","13","1522","1932","1056","1458","8.00E-10","62.8"
"975885970","AMA12086.1","Genome polyprotein","DB04137","1","25.69","436","285","18","1635","2044","1840","2262","2.00E-09","61.6"
"975885970","AMA12086.1","Genome polyprotein","DB04137","1","25.26","190","96","6","3055","3233","3614","3768","9.00E-05","46.2"
"975885970","AMA12086.1","Genome polyprotein","DB08747","1","22.82","425","278","13","1535","1936","1065","1462","3.00E-09","60.8"
"975885970","AMA12086.1","Genome polyprotein","DB03388 DB03647","2","22.7","423","279","13","1536","1936","1070","1466","1.00E-08","58.5"
"975885970","AMA12086.1","NS3/4A protein","DB05521 DB08873","2","24.32","444","265","18","1513","1927","26","427","2.00E-07","54.7"
"975885970","AMA12086.1","NH(3)-dependent NAD(+) synthetase","DB04099","1","34.48","87","48","2","968","1045","120","206","0.17","34.3"
"975885970","AMA12086.1","Hepatocyte growth factor","DB02264 DB03959 DB05030 DB05434","4","26.19","84","58","2","1026","1105","152","235","2.2","31.6"
"975885970","AMA12086.1","NS3 protease","DB06290 DB07582","2","24.39","123","75","4","1545","1659","49","161","2.4","30.4"
"975885970","AMA12086.1","Fumarate reductase flavoprotein subunit","DB07669","1","27.22","180","105","9","2488","2645","201","376","8.4","29.6"
"975885967","AMA12085.1","Genome polyprotein","DB04473","1","56.38","3427","1444","28","1","3418","1","3385","0","3974"
"975885967","AMA12085.1","Genome polyprotein","DB01693 DB01752","2","55.32","3418","1485","24","3","3416","2","3381","0","3911"
"975885967","AMA12085.1","Genome polyprotein","DB04473","1","49.71","1028","501","10","291","1317","1","1013","0","1089"
"975885967","AMA12085.1","Genome polyprotein","DB04473","1","65.63","646","215","4","1476","2119","1043","1683","0","890"
"975885967","AMA12085.1","Genome polyprotein","DB08644","1","23.99","421","270","14","1535","1932","1065","1458","4.00E-12","70.5"
"975885967","AMA12085.1","Genome polyprotein","DB08701","1","24.76","424","269","14","1536","1936","1070","1466","9.00E-12","69.3"
"975885967","AMA12085.1","Genome polyprotein","DB07238","1","23.52","421","272","14","1535","1932","1065","1458","5.00E-11","66.6"
"975885967","AMA12085.1","Genome polyprotein","DB05868 DB06038 DB06058 DB07582","4","23.52","421","272","14","1535","1932","1065","1458","2.00E-10","64.3"
"975885967","AMA12085.1","Genome polyprotein","DB06913 DB07085 DB07185 DB07273 DB07275 DB07547 DB07770 DB08556","8","23.39","449","291","15","1535","1957","1065","1486","3.00E-10","64.3"
"975885967","AMA12085.1","Genome polyprotein","DB02331 DB03605 DB04005 DB04137 DB04298 DB06974 DB07062 DB07169 DB07199 DB07200 DB07238 DB07414 DB07570 DB08031 DB08278 DB08279 DB08390 DB08481 DB08578 DB08579 DB08580 DB08581 DB08582 DB08701 DB08706 DB08710","26","23.39","449","291","15","1535","1957","1065","1486","4.00E-10","63.9"
"975885967","AMA12085.1","Genome polyprotein","DB01720 DB04005","2","22.84","429","287","13","1522","1932","1056","1458","8.00E-10","62.8"
"975885967","AMA12085.1","Genome polyprotein","DB04137","1","25.69","436","285","18","1635","2044","1840","2262","2.00E-09","61.6"
"975885967","AMA12085.1","Genome polyprotein","DB04137","1","25.26","190","96","6","3055","3233","3614","3768","9.00E-05","46.2"
"975885967","AMA12085.1","Genome polyprotein","DB08747","1","22.82","425","278","13","1535","1936","1065","1462","3.00E-09","60.8"
"975885967","AMA12085.1","Genome polyprotein","DB03388 DB03647","2","22.7","423","279","13","1536","1936","1070","1466","1.00E-08","58.5"
"975885967","AMA12085.1","NS3/4A protein","DB05521 DB08873","2","24.32","444","265","18","1513","1927","26","427","2.00E-07","54.7"
"975885967","AMA12085.1","NH(3)-dependent NAD(+) synthetase","DB04099","1","34.48","87","48","2","968","1045","120","206","0.17","34.3"
"975885967","AMA12085.1","Hepatocyte growth factor","DB02264 DB03959 DB05030 DB05434","4","26.19","84","58","2","1026","1105","152","235","2.2","31.6"
"975885967","AMA12085.1","NS3 protease","DB06290 DB07582","2","24.39","123","75","4","1545","1659","49","161","2.4","30.4"
"975885967","AMA12085.1","Fumarate reductase flavoprotein subunit","DB07669","1","27.22","180","105","9","2488","2645","201","376","8.4","29.6"
"975885965","AMA12084.1","Genome polyprotein","DB04473","1","56.41","3427","1443","28","1","3418","1","3385","0","3976"
"975885965","AMA12084.1","Genome polyprotein","DB01693 DB01752","2","55.35","3418","1484","24","3","3416","2","3381","0","3913"
"975885965","AMA12084.1","Genome polyprotein","DB04473","1","49.71","1028","501","10","291","1317","1","1013","0","1089"
"975885965","AMA12084.1","Genome polyprotein","DB04473","1","65.63","646","215","4","1476","2119","1043","1683","0","890"
"975885965","AMA12084.1","Genome polyprotein","DB08644","1","23.99","421","270","14","1535","1932","1065","1458","4.00E-12","70.5"
"975885965","AMA12084.1","Genome polyprotein","DB08701","1","24.76","424","269","14","1536","1936","1070","1466","9.00E-12","69.3"
"975885965","AMA12084.1","Genome polyprotein","DB07238","1","23.52","421","272","14","1535","1932","1065","1458","5.00E-11","66.6"
"975885965","AMA12084.1","Genome polyprotein","DB05868 DB06038 DB06058 DB07582","4","23.52","421","272","14","1535","1932","1065","1458","3.00E-10","64.3"
"975885965","AMA12084.1","Genome polyprotein","DB06913 DB07085 DB07185 DB07273 DB07275 DB07547 DB07770 DB08556","8","23.39","449","291","15","1535","1957","1065","1486","3.00E-10","64.3"
"975885965","AMA12084.1","Genome polyprotein","DB02331 DB03605 DB04005 DB04137 DB04298 DB06974 DB07062 DB07169 DB07199 DB07200 DB07238 DB07414 DB07570 DB08031 DB08278 DB08279 DB08390 DB08481 DB08578 DB08579 DB08580 DB08581 DB08582 DB08701 DB08706 DB08710","26","23.39","449","291","15","1535","1957","1065","1486","4.00E-10","63.9"
"975885965","AMA12084.1","Genome polyprotein","DB01720 DB04005","2","22.84","429","287","13","1522","1932","1056","1458","8.00E-10","62.8"
"975885965","AMA12084.1","Genome polyprotein","DB04137","1","25.69","436","285","18","1635","2044","1840","2262","2.00E-09","61.6"
"975885965","AMA12084.1","Genome polyprotein","DB04137","1","25.26","190","96","6","3055","3233","3614","3768","9.00E-05","46.2"
"975885965","AMA12084.1","Genome polyprotein","DB08747","1","22.82","425","278","13","1535","1936","1065","1462","3.00E-09","60.8"
"975885965","AMA12084.1","Genome polyprotein","DB03388 DB03647","2","22.7","423","279","13","1536","1936","1070","1466","1.00E-08","58.9"
"975885965","AMA12084.1","NS3/4A protein","DB05521 DB08873","2","24.32","444","265","18","1513","1927","26","427","2.00E-07","54.7"
"975885965","AMA12084.1","NH(3)-dependent NAD(+) synthetase","DB04099","1","34.48","87","48","2","968","1045","120","206","0.17","34.3"
"975885965","AMA12084.1","Hepatocyte growth factor","DB02264 DB03959 DB05030 DB05434","4","26.19","84","58","2","1026","1105","152","235","2.2","31.2"
"975885965","AMA12084.1","NS3 protease","DB06290 DB07582","2","24.39","123","75","4","1545","1659","49","161","2.4","30.4"
"975885965","AMA12084.1","Fumarate reductase flavoprotein subunit","DB07669","1","27.22","180","105","9","2488","2645","201","376","8.3","29.6"
"973447411","ALX35662.1","Genome polyprotein","DB04473","1","55.07","641","275","6","1","640","277","905","0","746"
"973447411","ALX35662.1","Genome polyprotein","DB04473","1","51.81","637","296","6","5","640","1","627","0","715"
"973447411","ALX35662.1","Genome polyprotein","DB01693 DB01752","2","51.48","641","300","6","1","640","277","907","0","716"
"973447411","ALX35662.1","Lysine--tRNA ligase","DB00123","1","43.33","30","17","0","272","301","2","31","6.1","27.3"
"973447411","ALX35662.1","Sucrose porin","DB02772","1","31.43","70","31","3","145","214","95","147","6.4","27.3"
"973447411","ALX35662.1","S-methyl-5'-thioadenosine phosphorylase","DB00173 DB02158 DB02281 DB02282 DB02933","5","22.77","101","74","1","293","389","161","261","6.6","26.9"
"973447409","ALX35661.1","Genome polyprotein","DB04473","1","51.19","928","428","12","1","926","1","905","0","978"
"973447409","ALX35661.1","Genome polyprotein","DB01693 DB01752","2","47.73","926","462","10","3","926","2","907","0","946"
"973447409","ALX35661.1","Genome polyprotein","DB04473","1","51.65","637","297","6","291","926","1","627","0","712"
"973447409","ALX35661.1","Sucrose porin","DB02772","1","31.43","70","31","3","431","500","95","147","8.5","27.3"
"973447407","ALX35660.1","Genome polyprotein","DB04473","1","51.19","928","428","12","1","926","1","905","0","978"
"973447407","ALX35660.1","Genome polyprotein","DB01693 DB01752","2","47.84","926","461","10","3","926","2","907","0","949"
"973447407","ALX35660.1","Genome polyprotein","DB04473","1","51.81","637","296","6","291","926","1","627","0","717"
"973447407","ALX35660.1","Sucrose porin","DB02772","1","31.43","70","31","3","431","500","95","147","8.5","27.3"
"973447405","ALX35659.1","Genome polyprotein","DB04473","1","56.35","3427","1445","28","1","3418","1","3385","0","3971"
"973447405","ALX35659.1","Genome polyprotein","DB01693 DB01752","2","55.32","3418","1485","24","3","3416","2","3381","0","3909"
"973447405","ALX35659.1","Genome polyprotein","DB04473","1","49.71","1028","501","10","291","1317","1","1013","0","1090"
"973447405","ALX35659.1","Genome polyprotein","DB04473","1","65.63","646","215","4","1476","2119","1043","1683","0","890"
"973447405","ALX35659.1","Genome polyprotein","DB08644","1","23.99","421","270","14","1535","1932","1065","1458","4.00E-12","70.5"
"973447405","ALX35659.1","Genome polyprotein","DB08701","1","24.76","424","269","14","1536","1936","1070","1466","9.00E-12","69.3"
"973447405","ALX35659.1","Genome polyprotein","DB07238","1","23.29","425","276","14","1535","1936","1065","1462","5.00E-11","66.6"
"973447405","ALX35659.1","Genome polyprotein","DB05868 DB06038 DB06058 DB07582","4","23.52","421","272","14","1535","1932","1065","1458","3.00E-10","64.3"
"973447405","ALX35659.1","Genome polyprotein","DB06913 DB07085 DB07185 DB07273 DB07275 DB07547 DB07770 DB08556","8","23.39","449","291","15","1535","1957","1065","1486","3.00E-10","64.3"
"973447405","ALX35659.1","Genome polyprotein","DB02331 DB03605 DB04005 DB04137 DB04298 DB06974 DB07062 DB07169 DB07199 DB07200 DB07238 DB07414 DB07570 DB08031 DB08278 DB08279 DB08390 DB08481 DB08578 DB08579 DB08580 DB08581 DB08582 DB08701 DB08706 DB08710","26","23.39","449","291","15","1535","1957","1065","1486","4.00E-10","63.9"
"973447405","ALX35659.1","Genome polyprotein","DB01720 DB04005","2","22.84","429","287","13","1522","1932","1056","1458","8.00E-10","62.8"
"973447405","ALX35659.1","Genome polyprotein","DB04137","1","25.69","436","285","18","1635","2044","1840","2262","2.00E-09","62"
"973447405","ALX35659.1","Genome polyprotein","DB04137","1","25.26","190","96","6","3055","3233","3614","3768","9.00E-05","46.2"
"973447405","ALX35659.1","Genome polyprotein","DB08747","1","22.82","425","278","13","1535","1936","1065","1462","3.00E-09","60.8"
"973447405","ALX35659.1","Genome polyprotein","DB03388 DB03647","2","22.7","423","279","13","1536","1936","1070","1466","1.00E-08","58.5"
"973447405","ALX35659.1","NS3/4A protein","DB05521 DB08873","2","24.32","444","265","18","1513","1927","26","427","2.00E-07","54.7"
"973447405","ALX35659.1","NH(3)-dependent NAD(+) synthetase","DB04099","1","34.48","87","48","2","968","1045","120","206","0.17","34.3"
"973447405","ALX35659.1","Hepatocyte growth factor","DB02264 DB03959 DB05030 DB05434","4","26.19","84","58","2","1026","1105","152","235","2.2","31.6"
"973447405","ALX35659.1","NS3 protease","DB06290 DB07582","2","24.39","123","75","4","1545","1659","49","161","2.5","30.4"
"973447405","ALX35659.1","Fumarate reductase flavoprotein subunit","DB07669","1","27.22","180","105","9","2488","2645","201","376","8.3","29.6"
"746657105","AJD79051.1","Genome polyprotein","DB04473","1","72.39","326","88","2","1","325","2960","3284","8.00E-159","493"
"746657105","AJD79051.1","Genome polyprotein","DB01693 DB01752","2","69.85","325","97","1","1","325","2959","3282","4.00E-153","477"
"746657105","AJD79051.1","Genome polyprotein","DB04137","1","25.26","190","96","6","64","242","3614","3768","4.00E-06","45.8"
"746657105","AJD79051.1","Uncharacterized lipoprotein YbbD","DB08357","1","40.48","42","23","1","102","141","280","321","5.2","26.6"
"746657103","AJD79050.1","Genome polyprotein","DB04473","1","72.39","326","88","2","1","325","2960","3284","8.00E-159","493"
"746657103","AJD79050.1","Genome polyprotein","DB01693 DB01752","2","69.85","325","97","1","1","325","2959","3282","4.00E-153","477"
"746657103","AJD79050.1","Genome polyprotein","DB04137","1","25.26","190","96","6","64","242","3614","3768","4.00E-06","45.8"
"746657103","AJD79050.1","Uncharacterized lipoprotein YbbD","DB08357","1","40.48","42","23","1","102","141","280","321","5.2","26.6"
"746657101","AJD79049.1","Genome polyprotein","DB04473","1","72.39","326","88","2","1","325","2960","3284","8.00E-159","493"
"746657101","AJD79049.1","Genome polyprotein","DB01693 DB01752","2","69.85","325","97","1","1","325","2959","3282","4.00E-153","477"
"746657101","AJD79049.1","Genome polyprotein","DB04137","1","25.26","190","96","6","64","242","3614","3768","4.00E-06","45.8"
"746657101","AJD79049.1","Uncharacterized lipoprotein YbbD","DB08357","1","40.48","42","23","1","102","141","280","321","5.2","26.6"
"746657099","AJD79048.1","Genome polyprotein","DB04473","1","72.39","326","88","2","1","325","2960","3284","8.00E-159","493"
"746657099","AJD79048.1","Genome polyprotein","DB01693 DB01752","2","69.85","325","97","1","1","325","2959","3282","4.00E-153","477"
"746657099","AJD79048.1","Genome polyprotein","DB04137","1","25.26","190","96","6","64","242","3614","3768","4.00E-06","45.8"
"746657099","AJD79048.1","Uncharacterized lipoprotein YbbD","DB08357","1","40.48","42","23","1","102","141","280","321","5.2","26.6"
"746657097","AJD79047.1","Genome polyprotein","DB04473","1","72.39","326","88","2","1","325","2960","3284","8.00E-159","493"
"746657097","AJD79047.1","Genome polyprotein","DB01693 DB01752","2","69.85","325","97","1","1","325","2959","3282","4.00E-153","477"
"746657097","AJD79047.1","Genome polyprotein","DB04137","1","25.26","190","96","6","64","242","3614","3768","4.00E-06","45.8"
"746657097","AJD79047.1","Uncharacterized lipoprotein YbbD","DB08357","1","40.48","42","23","1","102","141","280","321","5.2","26.6"
"746657095","AJD79046.1","Genome polyprotein","DB04473","1","72.39","326","88","2","1","325","2960","3284","8.00E-159","493"
"746657095","AJD79046.1","Genome polyprotein","DB01693 DB01752","2","69.85","325","97","1","1","325","2959","3282","4.00E-153","477"
"746657095","AJD79046.1","Genome polyprotein","DB04137","1","25.26","190","96","6","64","242","3614","3768","4.00E-06","45.8"
"746657095","AJD79046.1","Uncharacterized lipoprotein YbbD","DB08357","1","40.48","42","23","1","102","141","280","321","5.2","26.6"
"746657093","AJD79045.1","Genome polyprotein","DB04473","1","72.39","326","88","2","1","325","2960","3284","8.00E-159","493"
"746657093","AJD79045.1","Genome polyprotein","DB01693 DB01752","2","69.85","325","97","1","1","325","2959","3282","4.00E-153","477"
"746657093","AJD79045.1","Genome polyprotein","DB04137","1","25.26","190","96","6","64","242","3614","3768","4.00E-06","45.8"
"746657093","AJD79045.1","Uncharacterized lipoprotein YbbD","DB08357","1","40.48","42","23","1","102","141","280","321","5.2","26.6"
"746657091","AJD79044.1","Genome polyprotein","DB04473","1","72.39","326","88","2","1","325","2960","3284","8.00E-159","493"
"746657091","AJD79044.1","Genome polyprotein","DB01693 DB01752","2","69.85","325","97","1","1","325","2959","3282","4.00E-153","477"
"746657091","AJD79044.1","Genome polyprotein","DB04137","1","25.26","190","96","6","64","242","3614","3768","4.00E-06","45.8"
"746657091","AJD79044.1","Uncharacterized lipoprotein YbbD","DB08357","1","40.48","42","23","1","102","141","280","321","5.2","26.6"
"746657089","AJD79043.1","Genome polyprotein","DB04473","1","72.39","326","88","2","1","325","2960","3284","1.00E-158","493"
"746657089","AJD79043.1","Genome polyprotein","DB01693 DB01752","2","69.85","325","97","1","1","325","2959","3282","2.00E-153","478"
"746657089","AJD79043.1","Genome polyprotein","DB04137","1","25.26","190","96","6","64","242","3614","3768","4.00E-06","46.2"
"746657089","AJD79043.1","Uncharacterized lipoprotein YbbD","DB08357","1","40.48","42","23","1","102","141","280","321","5.3","26.6"
"746657087","AJD79042.1","Genome polyprotein","DB04473","1","72.39","326","88","2","1","325","2960","3284","1.00E-158","493"
"746657087","AJD79042.1","Genome polyprotein","DB01693 DB01752","2","69.85","325","97","1","1","325","2959","3282","4.00E-153","477"
"746657087","AJD79042.1","Genome polyprotein","DB04137","1","25.26","190","96","6","64","242","3614","3768","4.00E-06","46.2"
"746657087","AJD79042.1","Uncharacterized lipoprotein YbbD","DB08357","1","40.48","42","23","1","102","141","280","321","4.7","26.6"
"746657085","AJD79041.1","Genome polyprotein","DB04473","1","72.39","326","88","2","1","325","2960","3284","8.00E-159","493"
"746657085","AJD79041.1","Genome polyprotein","DB01693 DB01752","2","69.85","325","97","1","1","325","2959","3282","4.00E-153","477"
"746657085","AJD79041.1","Genome polyprotein","DB04137","1","25.26","190","96","6","64","242","3614","3768","4.00E-06","45.8"
"746657085","AJD79041.1","Uncharacterized lipoprotein YbbD","DB08357","1","40.48","42","23","1","102","141","280","321","5.2","26.6"
"746657083","AJD79040.1","Genome polyprotein","DB04473","1","72.39","326","88","2","1","325","2960","3284","8.00E-159","493"
"746657083","AJD79040.1","Genome polyprotein","DB01693 DB01752","2","69.85","325","97","1","1","325","2959","3282","4.00E-153","477"
"746657083","AJD79040.1","Genome polyprotein","DB04137","1","25.26","190","96","6","64","242","3614","3768","4.00E-06","45.8"
"746657083","AJD79040.1","Uncharacterized lipoprotein YbbD","DB08357","1","40.48","42","23","1","102","141","280","321","5.2","26.6"
"746657081","AJD79039.1","Genome polyprotein","DB04473","1","72.39","326","88","2","1","325","2960","3284","8.00E-159","493"
"746657081","AJD79039.1","Genome polyprotein","DB01693 DB01752","2","69.85","325","97","1","1","325","2959","3282","4.00E-153","477"
"746657081","AJD79039.1","Genome polyprotein","DB04137","1","25.26","190","96","6","64","242","3614","3768","4.00E-06","45.8"
"746657081","AJD79039.1","Uncharacterized lipoprotein YbbD","DB08357","1","40.48","42","23","1","102","141","280","321","5.2","26.6"
"746657079","AJD79038.1","Genome polyprotein","DB04473","1","72.39","326","88","2","1","325","2960","3284","8.00E-159","493"
"746657079","AJD79038.1","Genome polyprotein","DB01693 DB01752","2","69.85","325","97","1","1","325","2959","3282","4.00E-153","477"
"746657079","AJD79038.1","Genome polyprotein","DB04137","1","25.26","190","96","6","64","242","3614","3768","4.00E-06","45.8"
"746657079","AJD79038.1","Uncharacterized lipoprotein YbbD","DB08357","1","40.48","42","23","1","102","141","280","321","5.2","26.6"
"746657077","AJD79037.1","Genome polyprotein","DB04473","1","72.39","326","88","2","1","325","2960","3284","8.00E-159","493"
"746657077","AJD79037.1","Genome polyprotein","DB01693 DB01752","2","69.85","325","97","1","1","325","2959","3282","4.00E-153","477"
"746657077","AJD79037.1","Genome polyprotein","DB04137","1","25.26","190","96","6","64","242","3614","3768","4.00E-06","45.8"
"746657077","AJD79037.1","Uncharacterized lipoprotein YbbD","DB08357","1","40.48","42","23","1","102","141","280","321","5.2","26.6"
"746657075","AJD79036.1","Genome polyprotein","DB04473","1","72.39","326","88","2","1","325","2960","3284","8.00E-159","493"
"746657075","AJD79036.1","Genome polyprotein","DB01693 DB01752","2","69.85","325","97","1","1","325","2959","3282","4.00E-153","477"
"746657075","AJD79036.1","Genome polyprotein","DB04137","1","25.26","190","96","6","64","242","3614","3768","4.00E-06","45.8"
"746657075","AJD79036.1","Uncharacterized lipoprotein YbbD","DB08357","1","40.48","42","23","1","102","141","280","321","5.2","26.6"
"746657073","AJD79035.1","Genome polyprotein","DB04473","1","72.39","326","88","2","1","325","2960","3284","8.00E-159","493"
"746657073","AJD79035.1","Genome polyprotein","DB01693 DB01752","2","69.85","325","97","1","1","325","2959","3282","4.00E-153","477"
"746657073","AJD79035.1","Genome polyprotein","DB04137","1","25.26","190","96","6","64","242","3614","3768","4.00E-06","45.8"
"746657073","AJD79035.1","Uncharacterized lipoprotein YbbD","DB08357","1","40.48","42","23","1","102","141","280","321","5.2","26.6"
"746657071","AJD79034.1","Genome polyprotein","DB04473","1","72.39","326","88","2","1","325","2960","3284","8.00E-159","493"
"746657071","AJD79034.1","Genome polyprotein","DB01693 DB01752","2","69.85","325","97","1","1","325","2959","3282","4.00E-153","477"
"746657071","AJD79034.1","Genome polyprotein","DB04137","1","25.26","190","96","6","64","242","3614","3768","4.00E-06","45.8"
"746657071","AJD79034.1","Uncharacterized lipoprotein YbbD","DB08357","1","40.48","42","23","1","102","141","280","321","5.2","26.6"
"746657069","AJD79033.1","Genome polyprotein","DB04473","1","72.39","326","88","2","1","325","2960","3284","1.00E-158","493"
"746657069","AJD79033.1","Genome polyprotein","DB01693 DB01752","2","69.85","325","97","1","1","325","2959","3282","6.00E-153","476"
"746657069","AJD79033.1","Genome polyprotein","DB04137","1","24.04","183","107","6","64","242","3614","3768","2.00E-05","43.9"
"746657069","AJD79033.1","Uncharacterized lipoprotein YbbD","DB08357","1","40.48","42","23","1","102","141","280","321","5.1","26.6"
"746657067","AJD79032.1","Genome polyprotein","DB04473","1","72.39","326","88","2","1","325","2960","3284","8.00E-159","493"
"746657067","AJD79032.1","Genome polyprotein","DB01693 DB01752","2","69.85","325","97","1","1","325","2959","3282","4.00E-153","477"
"746657067","AJD79032.1","Genome polyprotein","DB04137","1","25.26","190","96","6","64","242","3614","3768","4.00E-06","45.8"
"746657067","AJD79032.1","Uncharacterized lipoprotein YbbD","DB08357","1","40.48","42","23","1","102","141","280","321","5.2","26.6"
"746657065","AJD79031.1","Genome polyprotein","DB04473","1","72.39","326","88","2","1","325","2960","3284","8.00E-159","493"
"746657065","AJD79031.1","Genome polyprotein","DB01693 DB01752","2","69.85","325","97","1","1","325","2959","3282","4.00E-153","477"
"746657065","AJD79031.1","Genome polyprotein","DB04137","1","25.26","190","96","6","64","242","3614","3768","4.00E-06","45.8"
"746657065","AJD79031.1","Uncharacterized lipoprotein YbbD","DB08357","1","40.48","42","23","1","102","141","280","321","5.2","26.6"
"746657063","AJD79030.1","Genome polyprotein","DB04473","1","72.39","326","88","2","1","325","2960","3284","8.00E-159","493"
"746657063","AJD79030.1","Genome polyprotein","DB01693 DB01752","2","69.85","325","97","1","1","325","2959","3282","4.00E-153","477"
"746657063","AJD79030.1","Genome polyprotein","DB04137","1","25.26","190","96","6","64","242","3614","3768","4.00E-06","45.8"
"746657063","AJD79030.1","Uncharacterized lipoprotein YbbD","DB08357","1","40.48","42","23","1","102","141","280","321","5.2","26.6"
"746657061","AJD79029.1","Genome polyprotein","DB04473","1","72.39","326","88","2","1","325","2960","3284","8.00E-159","493"
"746657061","AJD79029.1","Genome polyprotein","DB01693 DB01752","2","69.85","325","97","1","1","325","2959","3282","4.00E-153","477"
"746657061","AJD79029.1","Genome polyprotein","DB04137","1","25.26","190","96","6","64","242","3614","3768","4.00E-06","45.8"
"746657061","AJD79029.1","Uncharacterized lipoprotein YbbD","DB08357","1","40.48","42","23","1","102","141","280","321","5.2","26.6"
"746657059","AJD79028.1","Genome polyprotein","DB04473","1","72.39","326","88","2","1","325","2960","3284","8.00E-159","493"
"746657059","AJD79028.1","Genome polyprotein","DB01693 DB01752","2","69.85","325","97","1","1","325","2959","3282","4.00E-153","477"
